,address,lon,lat,full_address_google,eircode,useful_address
926,"Propad Developments Ltd, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
927,"Tommy Griffin Carpentry Ltd, County Kerry, Ireland",-9.5668632,52.15446069999999,"Kerry, Co. Kerry, Ireland",,False
928,"Aidan Dunne Heating & Plumbing, County Dublin 12, Ireland",-6.3275681,53.3033166,"56 Willington Cres, Templeogue, Dublin, D6W FX20, Ireland",D6W FX20,True
929,"Shankill Construction Ltd, County Monaghan, Ireland",-6.892279,54.018129,"Shankill, Shercock, Co. Monaghan, Ireland",,True
930,"O.F. Heating & Plumbing Ltd, County Limerick, Ireland",-8.7474955,52.5090517,"Limerick, Co. Limerick, Ireland",,False
931,"Sulaco Heating & Plumbing Services, County Wicklow, Ireland",-6.118021799999999,53.1875328,"Boghall Cottages, Boghall Rd, Oldcourt, Bray, Co. Wicklow, Ireland",,True
932,"Elite Insulation Ltd, County Waterford, Ireland",-7.110070299999999,52.2593197,"Waterford, Ireland",,False
933,"Retrofit Design Ltd, County Kerry, Ireland",-9.7978709,52.1124497,"13 Knocklyne Valley, Sunhill Rd, Knockyline, Killorglin, Co. Kerry, V93 AK59, Ireland",V93 AK59,True
934,"Sean O Reilly Heating and Plumbing Services, County Dublin 15, Ireland",-6.3843064,53.4347436,"22 Hollystown Park, Hollystown, Dublin, D15 W1Y5, Ireland",D15 W1Y5,True
935,"Patrick Herlihy Construction, County Kerry, Ireland",-9.5668632,52.15446069999999,"Kerry, Co. Kerry, Ireland",,False
936,"Daniel Hands Construction Ltd., County Cavan, Ireland",-7.2996623,53.9765424,"Cavan, Co. Cavan, Ireland",,False
937,"Kieron O Connell Building Services Ltd, County Dublin 13, Ireland",-6.1684075,53.4018361,"Grattan Lodge, Hole in The Wall Rd, Donaghmede, Dublin 13, Ireland",,True
938,"John Walsh, County Co Dublin, Ireland",-6.1406703,53.2676068,"28 Woodlands Rd, Dún Laoghaire, Dublin, A96 V6P1, Ireland",A96 V6P1,True
939,"Fingal Renewables, County Co Dublin, Ireland",-6.2539778,53.4923939,"Fingal, Co. Dublin, Ireland",,False
940,"Tim O'Regan, County Cork, Ireland",-8.935502399999999,51.62809920000001,"Aghamilla, Clonakilty, Co. Cork, Ireland",,True
941,"Mark Gilleece, County Meath, Ireland",-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False
942,"IRD Duhallow, County Cork, Ireland",-8.9941856,52.2100588,"James O'Keeffe Institute, Demesne, Newmarket, Co. Cork, P51 C5YF, Ireland",P51 C5YF,True
943,"FP Engineering and Construction Ltd, County Meath, Ireland",-6.4814044,53.4132776,"29 The Way, Dunboyne Castle, Dunboyne, Co. Meath, A86 RY91, Ireland",A86 RY91,True
944,"NF Plastering, County Cavan, Ireland",-7.2996623,53.9765424,"Cavan, Co. Cavan, Ireland",,False
945,"Munster External Wall Insulation T/A SE Systems, County Cork, Ireland",-8.472672400000002,51.9220504,"Cork, Co. Cork, T23 YHC4, Ireland",T23 YHC4,True
946,"Sean Allen Heating And Plumbing, County Kerry, Ireland",-9.5668632,52.15446069999999,"Kerry, Co. Kerry, Ireland",,False
947,"Garry Mc Carthy Construction Ltd, County Cork, Ireland",-8.4753318,51.87768149999999,"Tramore Commercial Park, 40 Tramore Rd, Ballyphehane, Cork, Ireland",,True
948,"Churchfield Home Services, County Dublin 22, Ireland",-6.442080700000001,53.2937832,"Unit B7 Clonlara Avenue, Baldonnell Business Park, Dublin, 22, Ireland",,True
949,"K P Scanlon Ltd, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
950,"Emerald Coatings Ltd, County Wicklow, Ireland",-6.367254300000001,52.9862313,"Wicklow, Co. Wicklow, Ireland",,False
951,"Paul O Brien, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
952,"AMC Construction T/A Grange Fern Developments Ltd, County Dublin 13, Ireland",-6.2340924,53.3993379,"Aulden Grange, Kilmore, Dublin, Ireland",,True
953,"Gas or Oil Heating Services, County Kildare, Ireland",-6.5935017,53.382107,"Mill St, Maynooth, Co. Kildare, Ireland",,True
954,"Mid Kerry Mechanical, County Kerry, Ireland",-9.389949699999999,52.4353687,"Kilmeany, Kilmorna, Co. Kerry, Ireland",,True
